4|società, civilizzazione, cultura
41C713|distillati ~ bevande alcoliche
41C7131|gin ~ bevande alcoliche
41C7132|whisky
41C7133|vodka
41C7134|brandy, arzente
41C714|birra, birra chiara
41C7141|bicchiere di birra
41C715|altre bevande alcoliche
41C715(...)|altre bevande alcoliche (col NOME)
41C7151|cocktail
41C72|bevande stimolanti
41C721|caffè
41C7211|tazza di caffè
41C722|tè (foglie)
41C7221|tazza di tè
41C723|cioccolata, cacao (bevanda)
41C73|altre bevande
41C731|sciroppi di frutta dolci
41C732|succo di frutta
41C74|tabacco
41C741|pipa ~ tabacco
41C7411|pipa ad acqua, pipa turca, narghilè
41C7412|rotolo di tabacco, treccia di tabacco arrotolata
41C7413|barattolo di tabacco
41C7414|portapipe
41C7415|portacenere
41C742|sigaro
41C7421|scatola di sigari
41C7422|portasigari
41C7423|bocchino per sigari
41C743|sigarette
41C7431|portasigarette
41C7432|carta da sigaretta
41C7433|bocchino da sigaretta
41C744|tabacco da fiuto
41C7441|tabacchiera
41C745|tabacco da masticare
41C7451|altre cose da masticare ~ stimolanti
41C74511|betel, sirih
41C74512|gomma da masticare
41C75|droghe
41C75(...)|droghe (col NOME)
41C75(HASHISH)|droghe: hashish
41C751|oppio
41C7511|pipa da oppio
41C7512|fumeria d'oppio
41C76|essenze, profumi
41C761|scatola, contenitore di profumi
41C762|incensiere ~ essenze, profumi
41C9|cannibalismo
41C91|necrofagia
41CC221|cuoco - CC - cuoca
41CC25|cucinare cibo - CC - all'aria aperta, all'aperto
41CC251|arrostire, cuocere ai ferri - CC - all'aria aperta, all'aperto
41CC2511|spiedo ~ cottura - CC - all'aria aperta, all'aperto
41CC2512|griglia, graticola ~ cottura del cibo - CC - all'aria aperta, all'aperto
41CC252|friggere - CC - all'aria aperta, all'aperto
41CC253|bollire, lessare - CC - all'aria aperta, all'aperto
41CC254|fuoco (per cucinare), focolare da cucina - CC - all'aria aperta, all'aperto
41CC2541|focolare, stufa (in cucina) - CC - all'aria aperta, all'aperto
41CC2542|fornello - CC - all'aria aperta, all'aperto
41CC2543|forno (~ cucina) - CC - all'aria aperta, all'aperto
41CC26|preparazione del cibo - CC - all'aria aperta, all'aperto
41CC261|pulire (cibo) - CC - all'aria aperta, all'aperto
41CC2611|pulire verdure - CC - all'aria aperta, all'aperto
41CC2612|pulire frutta, p.es. sbucciare - CC - all'aria aperta, all'aperto
41CC26121|frutto (semi)sbucciato, p.es.: limone - CC - all'aria aperta, all'aperto
41CC2613|pulire un volatile o piccoli animali - CC - all'aria aperta, all'aperto
41CC26131|volatile spennato - CC - all'aria aperta, all'aperto
41CC262|spartire (cibo) - CC - all'aria aperta, all'aperto
41CC2621|tagliare carne - CC - all'aria aperta, all'aperto
41CC2622|affettare pane - CC - all'aria aperta, all'aperto
41CC263|mescolare, unire ingredienti (preparare del cibo) - CC - all'aria aperta, all'aperto
41CC2631|preparare un impasto o una pastella - CC - all'aria aperta, all'aperto
41CC264|spaniare, battere (preparazione del cibo) - CC - all'aria aperta, all'aperto
41CC265|ornare, decorare, rivestire (preparazione del cibo) - CC - all'aria aperta, all'aperto
41CC269|rigovernare - CC - all'aria aperta, all'aperto
41CC4|pasto (familiare) - CC - all'aria aperta, all'aperto
41CC41|prima colazione - CC - all'aria aperta, all'aperto
41CC411|caffè del mattino - CC - all'aria aperta, all'aperto
41CC42|pasto di mezzogiorno, seconda colazione (pranzo) - CC - all'aria aperta, all'aperto
41CC421|high tea (tè servito con pietanze di carne) - CC - all'aria aperta, all'aperto
41CC4211|cerimonia del tè - CC - all'aria aperta, all'aperto
41CC422|tè del pomeriggio - CC - all'aria aperta, all'aperto
41CC43|pasto della sera (cena) - CC - all'aria aperta, all'aperto
41CC44|cena (tarda) - CC - all'aria aperta, all'aperto
41CC5|pranzo celebrativo, festino, banchetto - CC - all'aria aperta, all'aperto
41CC50|'Convito' (Ripa) - CC - all'aria aperta, all'aperto
41CC51|banchetto elegante - CC - all'aria aperta, all'aperto
41CC52|bicchierata, baldoria, gozzoviglia - CC - all'aria aperta, all'aperto
41CC520|'Crapula' (Ripa) - CC - all'aria aperta, all'aperto
41D|moda, abbigliamente
41D1|moda
41D11|figurini di moda
41D12|sfilata di moda
41D121|modella, indossatrice
41D122|manichini per vetrina
41D13|vendita, diffusione di moda
41D131|dandy, beau
41D1310|'Delitioso' (Ripa)
41D1311|'incroyable' ~ dandy
41D132|donna elegante, alla mode, 'belle'
41D1321|'mervelleuse'
41D14|stilista, figurinista
41D2|abiti, costume
41D21|abiti che coprono l'intero corpo
41D21(...)|abiti che coprono l'intero corpo (col NOME)
41D211|vestito, abito lungo
41D211(...)|vestito, abito lungo (col NOME)
41D211(BALL GOWN)|vestito, abito lungo: abito da ballo
41D211(CHEMISE À LA REINE)|vestito, abito lungo: chemise à la Reine
41D211(COURT GOWN)|vestito, abito lungo: court gown
41D211(DAY DRESS)|vestito, abito lungo: day dress
41D211(DINNER DRESS)|vestito, abito lungo: dinner dress
