2|natura
23O5|uomo-zodiaco; i segni zodiacali correlati alle parti del corpo umano
23P|settimane
23Q|giorni della settimana
23Q1|domenica
23Q2|lunedì
23Q3|martedì
23Q4|mercoledì
23Q5|giovedì
23Q6|venerdì
23Q7|sabato
23Q8|domani
23Q81|dopodomani
23Q9|ieri
23R|giorno e notte
23R1|giorno di ventiquattro ore, giorno naturale
23R10|'Giorno naturale', 'Carro del giorno naturale' (Ripa)
23R11|mattina
23R110|personificazione della mattina, 'Aurora'; 'Aurora' (Ripa)
23R111|mattina ~ paesaggio (anche detta 'Aurora')
23R112|mattina ~ altri concetti
23R113|mezzogiorno
23R12|pomeriggio
23R120|personificazione del pomeriggio, 'Meridies'
23R121|pomeriggio ~ paesaggio (anche detto 'Meridies')
23R122|pomeriggio ~ altri concetti
23R13|sera
23R130|personificazione della sera, 'Vesper'
23R131|sera ~ paesaggio (anche detta 'Vesper')
23R132|sera ~ altri concetti
23R14|notte
23R140|personificazione della notte, 'Nox'; 'Notte', 'Carro della notte', 'Serenità della notte' (Ripa)
23R141|notte ~ paesaggio (anche detta 'Nox')
23R142|notte ~ altri concetti
23R2|giorno dall'alba al tramonto
23R20|'Giorno artificiale', 'Carro del giorno artificiale', 'Serenità del giorno, ninfa dell'aria' (Ripa)
23R3|le ventiquattro ore del giorno e della notte
23R31|le prime dodici ore del giorno
23R310|'Hore del giorno' ('Hora prima', 'Hora seconda', 'Hora terza', 'Hora quarta', 'Hora quinta', 'Hora sesta', 'Hora settima', 'Hora ottava', 'Hora nona', 'Hora decima', 'Hora undecima', 'Hora duodecima') (Ripa)
23R32|le ultime dodici ore del giorno
23R320|'Hore della notte' ('Hora prima', 'Hora seconda', 'Hora terza', 'Hora quarta', 'Hora quinta', 'Hora sesta', 'Hora settima', 'Hora ottava', 'Hora nona', 'Hora decima', 'Hora undecima', 'Hora duodecima') (Ripa)
23S|gli imperi del mondo
23S1|i quattro imperi del mondo (Babilonia, Persia, Grecia, Roma)
23S11|Babilonia (uno dei quattro imperi del mondo)
23S12|Persia (uno dei quattro imperi del mondo)
23S13|Grecia (uno dei quattro imperi del mondo)
23S14|Roma (uno dei quattro imperi del mondo)
23S2|gli imperi del mondo secondo le divisioni bibliche
23S21|gli imperi del mondo simbolizzati da una grande statua di materiali diversi (Daniele 2) 
23S22|gli imperi del mondo simbolizzati da quattro bestie (Daniele 7)
23S3|gli imperi del mondo suddivisi in altro modo
23T|epoche storiche
23T1|storia del mondo divisa in sette epoche da Adamo alla fine del mondo
23T11|epoca Adamo a Noè ~ storia del mondo
23T12|epoca da Noè ad Abramo o Mosè ~ storia del mondo
23T13|epoca da Abramo o Mosè a David ~ storia del mondo
23T14|epoca da David alla cattività babilonese ~ storia del mondo
23T15|epoca dalla cattività babilonese alla venuta di Cristo ~ storia del mondo
23T16|epoca da Cristo alla fine del mondo ~ essere in attività, destarsi, vegliare
23T17|epoca da Cristo alla fine del mondo ~ dormire, riposare (Shabbat eterno)
23T2|divisione moderna di epoche storiche
23T21|preistoria (epoca storica)
23T22|storia antica (epoca storica)
23T23|antichità classica (epoca storica)
23T24|alto medioevo, secoli bui (epoca storica
23T25|medioevo (epoca storica)
23T26|rinascimento (epoca storica fino al XVI secolo)
23T27|divisione moderna di epoche storiche ~ secoli
23T27(...)|divisione moderna di epoche storiche ~ secoli (col NUMERO romano del secolo)
23U|cronologia
23U1|calendario, almanacco
23U11|calendario perpetuo
23U2|(strumenti per) la misurazione del tempo
23U20|'Horografia' (Ripa)
23U21|meridiana
23U22|clessidra
23U23|orologio ad acqua
23U24|orologio
23U241|orologiaio
23U25|orologio da polso, da tasca
24|i cieli (corpi celesti)
240|rappresentazioni allegoriche dei cieli (corpi celesti)
24A|sole come corpo celeste
24A1|sorgere del sole
24A11|alba
24A110|'Crepuscolo della matina' (Ripa)
24A2|tramonto
24A21|crepuscolo
24A210|'Crepuscolo della sera' (Ripa)
24A3|eclissi solare
24A31|eclissi solare totale con corona
24A4|sole di mezzanotte
24A5|aspetti fisici del sole
24A51|macchie solari
24A52|fenomeni solari insoliti: parelio, macchie sull'alone solare, ecc.
24A6|sole rappresentato come volto, ruota, ecc.
24A7|posizioni del sole
24A71|solstizio d'estate
24A710|'Solstitio estivo' (Ripa)
24A72|equinozio d'autunno
24A720|'Equinottio dell'autunno' (Ripa)
24A73|solstizio d'inverno
24A730|'Solstitio hiemale' (Ripa)
24A74|equinozio di primavera
24A740|'Equinottio della primavera' (Ripa)
24A8|luce solare
24A81|raggi di sole
24B|luna come corpo celeste
24B1|luna crescente
24B11|luna crescente rappresentata come volto
24B2|luna piena
24B21|luna piena rappresentata come volto
24B3|luna calante
24B31|luna calante rappresentata come volto
24B4|eclissi di luna
24B5|faccia della luna
24B6|luce lunare
24B61|raggi lunari
24B62|contemplare la luna, 'schwärmen'
24B7|il sorgere della luna
24B8|il tramonto della luna
24C|pianeti (eccetto la terra)
24C1|pianeti; sistema planetario, sistema solare
24C11|Cerere (pianeta)
24C12|Giove (pianeta)
24C13|Marte (pianeta)
24C14|Mercurio (pianeta)
24C15|Nettuno (pianeta)
24C16|Plutone (pianeta)
24C17|Saturno (pianeta)
24C18|Urano (pianeta)
24C19|Venere (pianeta)
24C191|stella del mattino (Venere)
24C192|stella della sera (Venere o altri pianeti)
24C2|il genere umano influenzato dai pianeti, inclusi il sole e la luna; 'Planetenkinder'
24C21|(personificazioni dei) pianeti con i loro 'figli', cosiddetti Planetenkinder'
24C211|Saturno e i suoi figli ('Planetenkinder')
24C212|Giove e i suoi figli
24C213|Marte e i suoi figli ('Planetenkinder')
24C214|Sole e i suoi figli
24C215|Venere e i suoi figli ('Planetenkinder')
24C216|Mercurio e i suoi figli
24C217|Luna e i suoi figli ('Planetenkinder')
24C22|(personificazioni dei) pianeti con i loro figli, cosiddetti 'Planetenkinder', accompagnati dai corrispondenti segni zodiacali
