2|Natur
23M2|Darstellungen der Monate des zweiten Jahresviertels durch Blumen- und/oder Früchtestilleben
23M21|Darstellungen des April durch Blumen- und/oder Früchtestilleben
23M22|Darstellungen des Mai durch Blumen- und/oder Früchtestilleben
23M23|Darstellungen des Juni durch Blumen- und/oder Früchtestilleben
23M3|Darstellungen der Monate des dritten Jahresviertels durch Blumen- und/oder Früchtestilleben
23M31|Darstellungen des Juli durch Blumen- und/oder Früchtestilleben
23M32|Darstellungen des August durch Blumen- und/oder Früchtestilleben
23M33|Darstellungen des September durch Blumen- und/oder Früchtestilleben
23M4|Darstellungen der Monate des vierten Jahresviertels durch Blumen- und/oder Früchtestilleben
23M41|Darstellungen des Oktober durch Blumen- und/oder Früchtestilleben
23M42|Darstellungen des November durch Blumen- und/oder Früchtestilleben
23M43|Darstellungen des Dezember durch Blumen- und/oder Früchtestilleben
23N|Darstellungen der zwölf Monate durch andere Konzepte als Personifikationen, menschliche Arbeiten, Landschaften oder Blumen- und/oder Früchtestilleben
23N1|Darstellungen der Monate des ersten Jahresviertels durch andere Konzepte
23N11|Darstellungen des Januar durch andere Konzepte
23N12|Darstellungen des Februar durch andere Konzepte
23N13|Darstellungen des März durch andere Konzepte
23N2|Darstellungen der Monate des zweiten Jahresviertels durch andere Konzepte
23N21|Darstellungen des April durch andere Konzepte
23N22|Darstellungen des Mai durch andere Konzepte
23N23|Darstellungen des Juni durch andere Konzepte
23N3|Darstellungen der Monate des dritten Jahresviertels durch andere Konzepte
23N31|Darstellungen des Juli durch andere Konzepte
23N32|Darstellungen des August durch andere Konzepte
