4|Gesellschaft, Zivilisation, Kultur
41AA332|das Fenster schließen - AA - fingiertes Fenster, Scheinfenster
41AA3321|geschlossenes Fenster - AA - fingiertes Fenster, Scheinfenster
41AA333|Fensterläden, Rolladen - AA - fingiertes Fenster, Scheinfenster
41AA3331|Fensterläden, Rolladen (an der Außenseite eines Fensters) - AA - fingiertes Fenster, Scheinfenster
41AA3332|Jalousie (an der Innenseite eines Fensters) - AA - fingiertes Fenster, Scheinfenster
41AA335|Fensterbank - AA - fingiertes Fenster, Scheinfenster
41AA336|menschliche Gestalt an einem (offenen) Fenster - AA - fingiertes Fenster, Scheinfenster
41AA3361|menschlische Gestalt an einem (offenen) Fenster, von außen gesehen - AA - fingiertes Fenster, Scheinfenster
41AA3362|Menschlische Gestalt an einem (offenen) Fenster, von innen gesehen - AA - fingiertes Fenster, Scheinfenster
41AA337|Blick durch ein Fenster - AA - fingiertes Fenster, Scheinfenster
41AA3371|Blick von außen durch ein Fenster - AA - fingiertes Fenster, Scheinfenster
41AA3372|Blick von innen durch ein Fenster - AA - fingiertes Fenster, Scheinfenster
41B|Heizung, Beleuchtung, Belüftung
41B1|offenes Feuer (generell)
41B11|ein Feuer anzünden
41B111|Feuerzeug
41B112|Zunderbüchse
41B113|Schwefelholz
41B114|Streichholz
41B1141|Streichholzschachtel
41B115|Zünder
41B12|(Ver-)Brennen als Prozeß
41B12(...)|(Ver-)Brennen als Prozeß (mit dem NAMEN des Brennstoffs)
41B12(COAL)|(Ver-)Brennen als Prozeß: Kohle
41B12(FAGGOT)|(Ver-)Brennen als Prozeß: Holzscheite, Holzbündel
41B12(LOG)|(Ver-)Brennen als Prozeß: Holzklötze, Holzblöcke
41B12(OIL)|(Ver-)Brennen als Prozeß: Öl
41B12(STRAW)|(Ver-)Brennen als Prozeß: Stroh
41B121|Flamme
41B122|Funken (eines Feuers)
41B123|Gase, die beim Verbrennungsprozeß freigesetzt werden
41B13|ein Feuer schüren
41B131|Blasen, Pusten (zwecks Schürung eines Feuers)
41B1311|Blasebalg
41B132|ein Feuer anfachen
41B1321|Gebläse
41B133|mit dem Schürhaken ein Feuer schüren
41B1331|Schürhaken
41B14|ein Feuer löschen
41B15|Überreste eines Verbrennungsprozesses
41B151|Ruß
41B152|Asche
41B153|Zinder, Sinter, Schlacke
41B16|Lagerfeuer; Signalfeuer
41B161|Freudenfeuer
41B162|Rauch
41B2|Feuerstelle, Herd, Ofen
41B21|offene Feuerstelle, offener Kamin
41B211|sich an einem Feuer (oder an einem Herd, einem Ofen, einer Kohlenpfanne) wärmen
41B212|Werkzeuge an einer Feuerstelle
41B2121|Feuerzange
41B2122|(glühende) Kohle löschen
41B213|Zubehör einer Feuerstelle
41B2131|Kaminschirm, Ofenschirm
41B2132|Kaminvorsetzer
41B2133|Herdplatte
41B2134|Nippesfiguren über dem Kamin
41B2135|Topf, der an Ketten über einer Feuerstelle hängt
41B2136|Feuerbock, Kaminbock
41B214|Kamin
41B2141|Kaminschmuck, Kamineinfassung
41B2142|ornament
41B22|Heizofen
41B221|Ofenrost
41B222|Ofenrohr
41B223|Kohleneimer
41B224|Kohlenschaufel
41B23|Fußwärmer
41B231|Wärmpfanne (für das Bett)
41B232|Wärmflasche
41B24|Zentralheizung
41B241|Heizkörper (einer Zentralheizung)
41B29|Kühlung, Klimaanlage
41B3|Beleuchtung; Lampen
41B31|Kerze
41B311|Kerzenhalter, Kandelaber
41B312|Wandleuchter, Wandlampe
41B313|Kerzenständer
41B314|Lichtputzschere
41B32|Fackel
41B33|Laterne
41B34|Öllampe
41B35|Paraffinlampe
41B36|Gaslampe
41B37|elektrische Glühlampe
41B371|elektrische Glühbirne
41B372|Neonlampe, Neonrohr
41B4|Brand, brennen, in Flammen
41B5|Feuerbekämpfung
41B51|Feuerwehr
41B511|Feuerwehrmänner
41B52|Ausrüstung zur Feuerbekämpfung
41B521|Eimer (Ausrüstung zur Feuerbekämpfung)
41B522|Pumpe (Ausrüstung zur Feuerbekämpfung)
41B523|Feuerwehrschlauch
41B524|chemische Mittel zur Feuerbekämpfung
41B525|Feuerwehrfahrzeug
41B53|Rettung vor den Flammen
41B531|Rettung vor den Flammen mit einem Sprungtuch
41B6|Lüftungssysteme, Lüftungsanlagen
41B61|Luftschacht
41BB32|Fackel - BB - emporgestreckte Fackel
41C|Ernährung, Nahrung
41C1|Essen und Trinken
41C10|Gastronomie; die Kunst des Essens und Trinkens
41C11|essen
41C111|jemanden ernähren, jemandem zu essen geben
41C119|Hunger
41C1190|Personifikation des Hungers; Fames; Ripa: Fame
41C1191|Hungersnot
41C1192|Hungerstreik
41C12|trinken
41C121|jemanden tränken, jemandem zu trinken geben
41C122|ausgießen
41C129|Durst
41C13|pusten, um das Essen vor dem Verzehr abzukühlen
41C14|rühren, um das Essen vor dem Verzehr abzukühlen
41C18|Sättigung (Essen und Trinken)
41C19|unstillbarer Hunger oder Durst
41C2|Küche und Keller
41C21|Küche
41C211|Kücheninneres
41C2111|Kücheninneres mit Lebensmitteln im Vordergrund; Küchenstück
41C212|Küchenausguß
41C22|Küchenpersonal
41C221|Koch
41C222|Küchenmädchen, Küchendiener
41C23|arme und reiche Küche
41C231|reiche Küche; reiche Kost
41C232|arme Küche; schmale Kost
41C24|Aufbewahrung von Lebensmitteln
41C241|Keller
41C2411|Weinkeller
41C24111|Mundschenk, Tafelmeister
41C242|Eiskeller
41C2421|Eisschrank, Kühlschrank
41C25|Essen kochen
41C251|rösten, grillen
41C2511|(Brat-, Grill-)Spieß
41C2512|Grill, Bratrost
41C252|braten
41C253|kochen
41C254|Küchenfeuer
41C2541|offenes Feuer, Feuerstelle, Herd (in der Küche)
41C2542|Kochgerät, Herd
41C2543|Backofen
41C26|Zubereitung von Lebensmitteln
41C261|Lebensmittel reinigen, putzen
41C2611|Gemüse putzen, waschen
41C2612|Früchte waschen, schälen
