2|nature
25F32(RAVEN)|raven
25F32(ROBIN)|robin
25F32(SPARROW)|sparrow
25F32(STARLING)|starling
25F32(SWALLOW)|swallow
25F32(THRUSH)|thrush
25F32(TIT)|tit
25F32(WAGTAIL)|wagtail
25F32(WARBLER)|warbler
25F32(WHITE THROAT)|white throat
25F32(WREN)|wren
25F33|predatory bird
25F33(EAGLE)|eagle
25F33(FALCON)|falcon
25F33(FISH-HAWK)|fish-hawk
25F33(FISH-HAWK)|osprey
25F33(HAWK)|hawk
25F33(KITE)|kite (bird)
25F33(SPARROW-HAWK)|sparrow-hawk
25F33(VULTURE)|vulture
25F34|owl
25F35|ornamental bird
25F35(BIRD OF PARADISE)|bird of paradise
25F35(BIRD OF PARADISE)|paradise
25F35(COCKATOO)|cockatoo
25F35(HORNBILL)|hornbill
25F35(PARROT)|parrot
25F35(PEACOCK)|peacock
25F36|diving-bird
25F36|water-bird
25F36(COOT)|coot
25F36(DIPPER)|dipper
25F36(DUCK)|duck
25F36(GOOSE)|goose
25F36(PELICAN)|pelican
25F36(SWAMP-HEN)|swamp-hen
25F36(SWAN)|swan
25F37|shore-bird
25F37|wading-bird
25F37(BITTERN)|bittern
25F37(CRANE)|crane
25F37(GULL)|gull
25F37(HERON)|heron
25F37(IBIS)|ibis
25F37(LAPWING)|lapwing
25F37(MARABOU)|marabou
25F37(PLOVER)|plover
25F37(PURPLE WATER-HEN)|purple waterhen
25F37(SNIPE)|snipe
25F37(STORK)|stork
25F37(TROCHILUS)|trochilus
25F37(WOODCOCK)|woodcock
25F38|runner bird
25F38|walker bird
25F38(...)|guinea-hen
25F38(BUSTARD)|bustard
25F38(BUSTARD)|otis
25F38(OSTRICH)|ostrich
25F38(PARTRIDGE)|partridge
25F38(PHEASANT)|pheasant
25F38(QUAIL)|quail
25F38(TURKEY)|turkey
25F39(...)|bee-eater
25F39(CUCKOO)|cuckoo
25F39(DODO)|dodo
25F39(DOVE)|dove
25F39(HOOPOE)|hoopoe
25F39(HUMMING-BIRD)|humming-bird
25F39(KINGFISHER)|kingfisher
25F39(TURTLE DOVE)|turtle dove
25F39(WOODPECKER)|woodpecker
25F39(WRYNECK)|wryneck
25F4|reptile
25F41|lizard
25F41(CHAMELEON)|chameleon
25F42|snake
25F42(...)|grass snake
25F42(VIPER)|viper
25F43|crocodile
25F43(ALLIGATOR)|alligator
25F44|tortoise
25F44|turtle
25F5|amphibian
25F51|lack
25F51|tail
25F51(FROG)|frog
25F51(TOAD)|toad
25F52|tail
25F6|fish
25F61|cartilaginous fish
25F61(DOGFISH)|dogfish
25F61(RAY)|ray (fish)
25F61(SAWFISH)|sawfish
25F61(SHARK)|shark
25F62|bony fishes
25F62(BARBEL)|barbel
25F62(BUTTERFISH)|butterfish
25F62(CARP)|carp
25F62(HERRING)|herring
25F62(HIPPOCAMPUS)|hippocampus
25F62(LUNGFISH)|lungfish
25F62(MACKEREL)|mackerel
25F62(MULLET)|mullet
25F62(PIKE)|pike (fish)
25F62(PILOT-FISH)|pilot-fish
25F62(RED HERRING)|red herring
25F62(ROACH)|roach
25F62(SALMON)|salmon
25F62(SARDINE)|sardine
25F62(SCARUS)|parrotfish
25F62(SCARUS)|scarus
25F62(SEA-BREAM)|sea-bream
25F62(SEA-DEVIL)|sea-devil
25F62(SEA-PERCH)|sea-perch
25F62(SEA-WOLF)|sea-wolf
25F62(SHEAT-FISH)|sheat fish
25F62(STURGEON)|sturgeon
25F62(SUN-FISH)|sunfish
25F62(SWORD-FISH)|sword-fish
25F62(TUNNY)|tunny
25F62(WEEVER)|weever
25F63|eel
25F63(LAMPREY)|lamprey
25F63(SEA-EEL)|sea-eel
25F64|deep sea
25F7|lower animal
25F71|arthropod
25F711|insect
25F711(ANT)|ant
25F711(ANT)|dragon-fly
25F711(ANT)|flea
25F711(ANT)|louse
25F711(BEE)|bee
25F711(BEE)|dragon-fly
25F711(BEE)|flea
25F711(BEE)|louse
25F711(BEETLE)|beetle
25F711(BEETLE)|dragon-fly
25F711(BEETLE)|flea
25F711(BEETLE)|louse
25F711(BUTTERFLY)|butterfly
25F711(BUTTERFLY)|dragon-fly
25F711(BUTTERFLY)|flea
25F711(BUTTERFLY)|louse
25F711(CATERPILLAR)|caterpillar
25F711(CATERPILLAR)|dragon-fly
25F711(CATERPILLAR)|flea
25F711(CATERPILLAR)|louse
25F711(CICADA)|cicada
25F711(CICADA)|dragon-fly
25F711(CICADA)|flea
25F711(CICADA)|louse
25F711(CRICKET)|cricket (insect)
25F711(CRICKET)|dragon-fly
25F711(CRICKET)|flea
25F711(CRICKET)|louse
25F711(DAY-FLY)|day-fly
25F711(DAY-FLY)|dragon-fly
25F711(DAY-FLY)|ephemera
25F711(DAY-FLY)|flea
25F711(DAY-FLY)|louse
25F711(DRAGON-FLY)|dragon-fly
25F711(DUNG-BEETLE)|dragon-fly
