25C13|Geysir
25C13|Hitze
25C13|Quelle
25C14|Rauch
25C14|Schwefel
25C15|Erdbeben
25C15|Phänomene
25C15|Schaden
25C15|Wirkung
25C150|Phaenomene
25C150|Ripa, Cesare
25C150|terremoto
25C16|Berg
25C16|Genese
25C17|Genese
25C17|Insel
25C19|Vulkan
25C19|erloschen
25C192|Lava
25C2|Erdmagnetismus
25C2|Magnetismus
25C21|Kompass
25C211|Kompassrose
25D1|Felsen
25D11|Edelstein
25D11(ALMANDINE)|Almandin
25D11(ALMANDINE)|Karfunkel
25D11(AMETHYST)|Amethyst
25D11(CHALCEDONY)|Chalcedon
25D11(CHRYSOBERYL)|Chrysoberyll
25D11(CHRYSOLITE)|Chrysolith
25D11(CHRYSOLITE)|Olivin
25D11(CHRYSOPRASE)|Chrysopras
25D11(DIAMOND)|Diamant
25D11(EMERALD)|Smaragd
25D11(JASPER)|Jaspis
25D11(ROCK-CRYSTAL)|Bergkristall
25D11(RUBY)|Rubin
25D11(SAPPHIRE)|Saphir
25D11(TOPAZ)|Topas
25D11(TURQUOISE)|Türkis
25D12|Stein
25D12(CHALK)|Kreide
25D12(FLINT)|Feuerstein
25D12(MARBLE)|Marmor
25D12(PUMICE)|Bimsstein
25D13|Metall
25D13|Mineral
25D13(BITUMEN)|Bitumen
25D13(COPPER)|Kupfer
25D13(GOLD)|Gold
25D13(IRON)|Eisen
25D13(LEAD)|Blei
25D13(MAGNETITE)|Magnetit
25D13(MERCURY)|Quecksilber
25D13(PLATINUM)|Platin
25D13(SILVER)|Silber
25D13(SULPHUR)|Schwefel
25D13(TIN)|Zinn
25D14|Pflanze
25D14|Tier
25D141|Anthrazit
25D141|Kohle
25D142|Braunkohle
25D142|Kohle
25D143|Bernstein
25D143|Fossil
25D143|Harz
25D15|Kristall
25D2|Bodenform
25D2|Form
25D211|Humus
25D22|Kies
25D23|Sand
25D24|Lehm
25D24|Ton
25D242|Loess
25D25|Torf
25D26|Schlamm
25D26|Schmutz
25D29|Staub
25D3|Bergbau
25D31|Bergwerk
25D31|Mine
25D311|Tagebau
25D312|Schacht (Bergbau)
25D312|Stollen (Bergbau)
25D32|Bergarbeiter
25D32|Berufe
25D321|Prospektor
25D33|Gebaeude
25D34|Steinbruch
25D35|Erz
25D35|Hochofen
25D35|Ofen
25D35|verhuetten
25D4|Fluessigkeit
25D41|Mineralwasser
25D41|Wasser
25D411|Medikament
25D411|Quelle
25D411|heilen
25D421|Quelle
25D43|Oel
25D431|bohren
25D4311|Derrickkran
25D4312|Bohrplattform
25D4312|Plattform
25D432|Pumpe
25D4321|Ausbruch
25D4321|Oelquelle
25D4321|Quelle
25D433|transportieren
25D4331|Pipeline
25D4331|Rohrleitungen
25D434|Raffinerie
25D435|Tank
25D44|Asphalt
25D44|Schotterstrasse
25D45|Boden
25D45|Erdboden
25D45|Erdgas
25D45|Gas
25D451|Kohle
25D4511|Fabrik
25D4511|Gaswerk
25D4512|Gasflasche
25D4512|Tank
25D5|Bewegung
25D5|Erdbeben
25D5|Erdrutsch
25D5|Geologie
25E|Chronologie
25E|Erdzeitalter
25E|Geologie
25E|Geschichte
25E|Periode
25E(BIG BANG)|Urknall
25E(CENOZOIC)|Kaenozoikum
25E(PALEOZOIC)|Palaeozoikum
25E(TERTIARY)|Tertiaer
25F|Tier
25F1|Gruppe
25F2|Saeugetier
25F21|Gruppe
25F22|Affe
25F22(BABOON)|Pavian
25F23|Raubtier
25F23(...)|Säugetier
25F23(BADGER)|Dachs
25F23(BADGER)|Saeugetier
25F23(BEAR)|Baer
25F23(BEAR)|Saeugetier
25F23(CHEETAH)|Gepard
25F23(CHEETAH)|Saeugetier
25F23(ERMINE)|Hermelin
25F23(ERMINE)|Saeugetier
25F23(FERRET)|Frettchen
25F23(FERRET)|Saeugetier
25F23(FOX)|Fuchs
25F23(FOX)|Saeugetier
25F23(HYENA)|Hyaene
25F23(HYENA)|Saeugetier
25F23(ICHNEUMON)|Ichneumon
25F23(ICHNEUMON)|Mungo
25F23(ICHNEUMON)|Saeugetier
25F23(LEOPARD)|Leopard
25F23(LEOPARD)|Saeugetier
25F23(LION)|Loewe
25F23(LION)|Saeugetier
25F23(LYNX)|Luchs
25F23(LYNX)|Saeugetier
25F23(MANGOUSTE)|Mangostane
25F23(MANGOUSTE)|Saeugetier
25F23(MARTEN)|Marder
25F23(MARTEN)|Saeugetier
25F23(OTTER)|Otter
25F23(OTTER)|Saeugetier
25F23(PANTHER)|Panther
25F23(PANTHER)|Saeugetier
25F23(POLAR BEAR)|Polarbär
25F23(SABLE)|Saeugetier
25F23(SABLE)|Zobel
25F23(TIGER)|Saeugetier
25F23(TIGER)|Tiger
25F23(WEASEL)|Saeugetier
25F23(WEASEL)|Wiesel
25F23(WOLF)|Saeugetier
25F23(WOLF)|Wolf
25F24|Huftier
25F24(...)|Ren
25F24(...)|Säugetier
25F24(ANTELOPE)|Antilope
25F24(ANTELOPE)|Saeugetier
25F24(BISON)|Bison
25F24(BISON)|Saeugetier
25F24(BISON)|Ur
25F24(BISON)|Wisent
25F24(BOAR)|Eber
25F24(BOAR)|Saeugetier
